count,item_1,item_2,lift,item_1_count,item_2_count
6,Custard Apple (sitaphal),Mango Shake (Milkshake),0.9077140119250425,128,587
6,Hazelnut Shake (Milkshake),Nutella Brownie Shake (Milkshake),0.923695758166748,293,252
6,Choco-Chip Brownie Shake (Thickshake),Strawberry Shake (Milkshake),0.9303867403314918,81,905
6,Choco Oreo Shake (Thickshake),Waffles,0.9413014974811953,43,1685
9,Blackcurrant Shake (Milkshake),Choco-Chip Brownie Shake (Milkshake),0.9432325281209663,319,340
6,Hazelnut Shake (Milkshake),Kitkat Shake,0.973938623673726,293,239
5,Kulfi Shake (Milkshake),Strawberry Shake (Milkshake),0.9968429360694555,63,905
8,Choco Oreo Shake (Milkshake),Choco-Chip Brownie Shake (Milkshake),1.0017184401850627,267,340
6,Oreo Shake (Milkshake),Strawberry Banana Shake (Milkshake),1.0265201685731489,440,151
7,Oreo Brownie Shake (Milkshake),Wonder Vanilla Shake (Milkshake),1.031862745098039,204,378
18,Dry Fruit Shake (Milkshake),Mango Shake (Milkshake),1.0343091411846181,337,587
8,Chocolate Strawberry Shake (Milkshake),Waffles,1.0378452408126,52,1685
5,Banana Shake (Milkshake),Dry Fruit Shake (Milkshake),1.0410484668644906,162,337
5,Choco Oreo Shake (Milkshake),Oreo Brownie Shake (Milkshake),1.0434567085261068,267,204
52,Chocolate Shake (Milkshake),Strawberry Shake (Milkshake),1.0466850828729282,624,905
5,Caramel Shake (Milkshake),Dry Fruit Shake (Milkshake),1.060690890767594,159,337
8,Blackcurrant Shake (Milkshake),Choco Oreo Shake (Milkshake),1.067662287344581,319,267
6,Cold Coffee,Hazelnut Coffee,1.0711122279109215,2449,26
8,Chocolate Brownie Shake (Milkshake),Wonder Vanilla Shake (Milkshake),1.0787956438180655,223,378
7,Strawberry Shake (Milkshake),Waffle,1.085451197053407,905,81
6,Blackcurrant Shake (Milkshake),Strawberry Cooler,1.1077687722318774,319,193
5,Belgium Dark Chocolate Brownie Shake (Milkshake),Oreo Brownie Shake (Milkshake),1.1188873139617292,249,204
5,Chocolate Shake (Milkshake),Waffle,1.1244658119658117,624,81
10,Banana Shake (Milkshake),Chocolate Shake (Milkshake),1.1244658119658117,162,624
5,Belgium Dark Chocolate Shake (Milkshake),Chilli Guava,1.1322615347836482,356,141
6,Caramel Shake (Milkshake),Wonder Vanilla Shake (Milkshake),1.1347708894878707,159,378
12,Belgium Dark Chocolate Shake (Milkshake),Dry Fruit Shake (Milkshake),1.1369652919014437,356,337
5,Kitkat Shake,Oreo Brownie Shake (Milkshake),1.1657026827467387,239,204
36,Strawberry Shake (Milkshake),Wonder Vanilla Shake (Milkshake),1.1962115232833466,905,378
7,Belgium Dark Chocolate Brownie Shake (Milkshake),Choco Oreo Shake (Milkshake),1.196832272911872,249,267
6,Chocolate Brownie Shake (Milkshake),Nutella Brownie Shake (Milkshake),1.2136450992953236,223,252
14,Chocolate Brownie Shake (Milkshake),Mango Shake (Milkshake),1.2157126377949747,223,587
7,Caramel Shake (Milkshake),Classic Lemonade,1.217600881421292,159,411
5,Blue Curacao,Choco-Chip Brownie Shake (Thickshake),1.2181712962962965,576,81
13,Blackcurrant Shake (Milkshake),Wonder Vanilla Shake (Milkshake),1.2254814151365874,319,378
11,Hazelnut Shake (Thickshake),Waffles,1.236765578635015,60,1685
6,Banana Shake (Milkshake),Choco-Chip Brownie Shake (Milkshake),1.238235294117647,162,340
8,Belgium Dark Chocolate Brownie Shake (Milkshake),Hazelnut Shake (Milkshake),1.2464328302972985,249,293
10,Choco Oreo Shake (Milkshake),Dry Fruit Shake (Milkshake),1.2632947687793816,267,337
10,Oreo Brownie Shake (Milkshake),Oreo Shake (Milkshake),1.2663770053475936,204,440
10,Mango Shake (Milkshake),Strawberry Banana Shake (Milkshake),1.2824215621016055,587,151
12,Belgium Dark Chocolate Shake (Milkshake),Hazelnut Shake (Milkshake),1.3077041070675308,356,293
11,Belgium Dark Chocolate Shake (Milkshake),Choco Oreo Shake (Milkshake),1.315458906703699,356,267
15,Hazelnut Shake (Milkshake),Oreo Shake (Milkshake),1.32256438101148,293,440
7,Belgium Dark Chocolate Brownie Shake (Milkshake),Kitkat Shake,1.3370469324998737,249,239
6,Blackcurrant Shake (Milkshake),Caramel Shake (Milkshake),1.3446501449103923,319,159
6,Choco-Chip Brownie Shake (Milkshake),Coffee Brownie Shake (Milkshake),1.3553656597774246,340,148
5,Chocolate Shake (Milkshake),Fruit-A-List Shake (Milkshake),1.3594288174512055,624,67
5,Chilli Guava,Hazelnut Shake (Milkshake),1.3757170866313266,141,293
5,Blackcurrant Shake (Milkshake),Custard Apple (sitaphal),1.391923001567398,319,128
5,Banana Shake (Milkshake),Belgium Dark Chocolate Brownie Shake (Milkshake),1.4089692101740292,162,249
13,Caramel Shake (Milkshake),Chocolate Shake (Milkshake),1.48938679245283,159,624
6,Hazelnut Shake (Milkshake),Strawberry Banana Shake (Milkshake),1.5415319937617251,293,151
13,Banana Shake (Milkshake),Mango Shake (Milkshake),1.5539466212379327,162,587
6,Caramel Shake (Milkshake),Choco Oreo Shake (Milkshake),1.6065295738817045,159,267
15,Kitkat Shake,Oreo Shake (Milkshake),1.621386458729555,239,440
10,Caramel Shake (Milkshake),Oreo Shake (Milkshake),1.624785591766724,159,440
11,Choco-Chip Brownie Shake (Milkshake),Chocolate Brownie Shake (Milkshake),1.6491295172777634,340,223
12,Blue Curacao,Chilli Guava,1.679521276595745,576,141
13,Belgium Dark Chocolate Shake (Milkshake),Kitkat Shake,1.7367660194631187,356,239
5,Coffee Brownie Shake (Milkshake),Oreo Brownie Shake (Milkshake),1.8824523052464228,148,204
13,Choco-Chip Brownie Shake (Milkshake),Oreo Brownie Shake (Milkshake),2.1304930795847747,340,204
9,Belgium Dark Chocolate Brownie Shake (Thickshake),Cad-b,2.1483651483651482,111,429
10,Chocolate Brownie Shake (Milkshake),Oreo Brownie Shake (Milkshake),2.4986810867844893,223,204
64,Blackcurrant Shake (Milkshake),Strawberry Shake (Milkshake),2.519918945600028,319,905
15,Choco Oreo Shake (Milkshake),Kitkat Shake,2.671947722250952,267,239
58,Blue Curacao,Classic Lemonade,2.784899635036497,576,411
16,Belgium Dark Chocolate Brownie Shake (Milkshake),Nutella Brownie Shake (Milkshake),2.8984509466437176,249,252
22,Classic Lemonade,Strawberry Cooler,3.1526039105933967,411,193
6,Dry Fruit Shake (Milkshake),Kulfi Shake (Milkshake),3.212378126324714,337,63
6,Coffee Shake (Milkshake),Dry Fruit Shake (Milkshake),3.3729970326409497,60,337
34,Blue Curacao,Strawberry Cooler,3.476522020725389,576,193
18,Chilli Guava,Classic Lemonade,3.530672464668427,141,411
5,Blue Curacao,Lemonade,3.9468750000000004,576,25
10,Chilli Guava,Strawberry Cooler,4.17704773453864,141,193
5,Cookest N Cream Shake (Milkshake),Kitkat Shake,4.403765690376568,54,239
8,Chilli Pineapple,Classic Lemonade,5.028533510285335,44,411
11,Dry Fruit Shake (Milkshake),Kulfi Nuts Shake (Milkshake),5.456318729272124,337,68
8,Blackcurrent Shake (Milkshake),Dry Fruit Shake (Milkshake),7.4955489614243325,36,337
7,Belgium Dark Chocolate Shake (Thickshake),Nutella Brownie Shake (Thickshake),7.654545454545453,105,99
5,Belgium Dark Chocolate Shake (Thickshake),Hazelnut Shake (Thickshake),9.02142857142857,105,60
5,Mango Shake (Thickshake),Strawberry Banana Shake (Milkshake),9.18026167016637,41,151
11,Belgium Dark Chocolate Brownie Shake (Thickshake),Nutella Brownie Shake (Thickshake),11.378378378378377,111,99
6,Oreo Banana Shake (Milkshake),Strawberry Banana Shake (Milkshake),12.54635761589404,36,151
5,Chilli Guava Cooler,Waffle,29.236111111111107,24,81
