count,item_1,item_2,lift
1,Choco-Chip Banana Shake (Milkshake),Waffle Special Offer,15.549931600547195
1,Choco Oreo Shake (Thickshake),Waffle Special Offer,15.549931600547195
1,Belgium Dark Chocolate Shake (Thickshake),Oreo 'Go' Nuts Shake (Thickshake),15.465306122448979
1,Classic Lemonade Cooler,Fruit-A-List Shake (Milkshake),15.423337856173676
1,Chilli Pineapple Cooler,Dry Fruit Shake (Thickshake),15.402439024390247
1,Banana Crunch Shake (Milkshake),Cold Coffee Cooler,15.360810810810811
1,Blackcurrant Crunch Shake (Milkshake),Cold Coffee Cooler,15.360810810810811
1,Kitkat Shake (Milkshake),Oreo Shake (Thickshake),15.278225806451612
1,Chocolate Shake (Thickshake),Chocolate Strawberry Shake (Thickshake),15.115691489361701
1,Banana Crunch Shake (Milkshake),Dates Shake (Milkshake),14.956578947368422
2,Choco-Chip Banana Shake (Milkshake),Oreo Banana Shake (Milkshake),14.686046511627907
2,Coffee Shake (Milkshake),Snickers Shake (Milkshake),14.573076923076924
1,Blackcurrent Shake (Milkshake),Peanut Butter Banana Shake (Milkshake),14.352272727272728
1,Oreo Banana Shake (Milkshake),Peanut Butter Banana Shake (Milkshake),14.352272727272728
2,Chocolate Strawberry Shake (Thickshake),Nutella Brownie Shake (Thickshake),14.352272727272725
2,Choco-Chip Banana Shake (Milkshake),Cold Coffee Cooler,14.289126335637963
1,Chocolate Shake (Thickshake),Waffle Special Offer,14.226533166458072
1,Berryblast,Blueberry,14.20875
1,Choco Oreo Shake (Milkshake),Kitkat Shake (Thickshake),14.191011235955056
1,Peanut Butter Brownie Shake (Thickshake),Waffle,14.033333333333333
1,Kulfi Nuts Shake (Milkshake),Snickers Shake (Thickshake),13.930147058823529
1,Kitkat Shake (Milkshake),Kulfi Nuts Shake (Milkshake),13.930147058823529
4,Chocolate Shake (Thickshake),Strawberry Shake (Thickshake),13.820060790273555
1,Dates Shake (Milkshake),Mango (Milkshake),13.596889952153111
2,Belgium Dark Chocolate Shake (Thickshake),Chocolate Strawberry Shake (Thickshake),13.532142857142857
1,Banana Crunch Shake (Milkshake),Choco Oreo Shake (Thickshake),13.217441860465117
3,Belgium Dark Chocolate Shake (Thickshake),Kulfi Nuts Shake (Thickshake),12.990857142857143
1,Hazelnut Shake (Milkshake),Munch Shake (Thickshake),12.93174061433447
1,Brownie Nuts (Thickshake),Oreo Shake (Milkshake),12.917045454545455
1,Coffee Brownie (Thickshake),Oreo Shake (Milkshake),12.917045454545455
1,Coffee Brownie Shake (Milkshake),Peanut Butter Banana Shake (Thickshake),12.800675675675675
1,Chilli Guava Cooler,Cold Coffee Cooler,12.800675675675675
1,Banana Crunch Shake (Thickshake),Custard Apple (sitaphal),12.686383928571429
1,Berryblast,Oreo Banana Shake (Milkshake),12.630000000000003
1,Blackcurrent Shake (Milkshake),Brownie Nuts Shake (Milkshake),12.630000000000003
1,Peanut Butter Banana (Thickshake),Strawberry Shake (Milkshake),12.560220994475138
1,Mango (Thickshake),Strawberry Shake (Milkshake),12.560220994475138
